Dataset Name,Property Assessment Data from Local Assessment Rolls
Dataset Source,Department of Taxation and Finance
Description,"This dataset is comprised of the final assessment rolls submitted to the New York State Department of Taxation and Finance – Office of Real Property Tax Services by 996 local governments. Together, the assessment rolls provide the details of the more than 4.7 million parcels in New York State.  
 
The dataset includes assessment rolls for all cities and towns, except New York City. (For New York City assessment roll data, see NYC Open Data [https://opendata.cityofnewyork.us]) 
 
For each property, the dataset includes assessed value, full market value, property size, owners, exemption information, and other fields. 
  
Tip: For a unique identifier for every property in New York State, combine the SWIS code and print key fields."
All Columns
Column ID,Column Field Name,Column Name,Column Type,Column Description
555399065,roll_year,Roll Year,number,The calendar year in which the assessment roll was filed.
555399066,county_name,County Name,text,The name of the county in which the parcel resides.
555399067,municipality_code,Municipality Code,text,Six-digit code that uniquely identifies each municipality.
555399068,municipality_name,Municipality Name,text,The name of the city or town in which the parcel resides.
555399069,school_district_code,School District Code,text,Six-digit code that uniquely identifies each school district.
555399070,school_district_name,School District Name,text,The name of the school district in which the parcel resides.
555399071,swis_code,SWIS Code,text,"Six-digit code that identifies subsections of a city or town, such as a village that resides within."
555399072,tax_class,Tax Class,text,Tax class used in municipalities where class assessing is applicable.
555399073,roll_section,Roll Section,number,"The section of the assessment roll on which the property resides. 1 - Ordinary taxable property including that which is partially exempt. 3 - Taxable State Owned Land. All property owned by the State of New York that is subject to general tax levies. 5 - Special Franchise. Real property owned by public utilities, such as cables, transmission or distribution wires, mains, etc., which is located under, above, or upon any public right of way. 6 - Utilities and Non-Ceiling Railroads. all property owned by public utility companies and privately held railroad companies except special franchise and ceiling railroad property. 7 - Ceiling Railroads. All railroad transportation property whose assessments are subject to a ceiling imposed by the Office of Real Property Tax Services. 8 - Wholly Exempt Property. includes all parcels which are entirely exempt from property taxes for the general levies. Many properties in this section are required to pay some special district taxes, however. Sections 2 and 4 are not currently in use."
555399074,property_class,Property Class,number,"A three digit code, established by ORPS for categorizing property by use."
555399075,property_class_description,Property Class Description,text,Literal text description of the property class assigned to the parcel.
555399076,print_key_code,Print Key Code,text,Unique identifier for the parcel within a given municipality.
555399077,parcel_address_number,Parcel Address Number,text,Street number associated with the physical location of the property.
555399078,parcel_address_street,Parcel Address Street,text,Street name associated with the physical location of the property.
555399079,parcel_address_suff,Parcel Address Suff,text,Street suffix associated with the physical location of the property.
555399080,front,Front,number,The width of the parcel from the front in feet.
555399081,depth,Depth,number,Measurement from the front to the rear line of the parcel in feet.
555399082,bank,Bank,text,Identifier for the bank used in the latest sale transaction.
